season,team,gpa,n_sources,gpa_z,class_sent,fan_year_z,fan_team_z,class_resid,n_picks,n_scored
2023,LVR,2.92,29,-0.04024505065070079,0.17839555561466602,-0.9927010677582251,-1.0993337445945275,-0.04292036368719414,9.0,9
2023,TAM,2.9,29,-0.07868808410808656,0.2783158948763513,2.2440711434301583,0.9657580117179936,0.09559929933092631,8.0,7
2023,CLE,2.87,29,-0.13635263429416478,0.22425914020706372,0.4929821996432113,0.5899560895754682,-0.02551525234223188,7.0,7
2023,LAR,2.78,29,-0.3093462848524012,0.18115133499171854,-0.9034316540060447,-0.9332713998615012,0.0792117860657171,14.0,13
2023,LAC,2.74,29,-0.38623235176717186,0.21541683291922564,0.20654867946562874,-0.28007772353558175,0.10050535559691817,7.0,7
2023,KAN,2.68,29,-0.5015614521393291,0.2592914376396809,1.6278018736138509,1.3338727737571547,-0.02244121524123366,7.0,7
2023,NOR,2.68,29,-0.5015614521393291,0.20529450078876635,-0.12134936005647365,-0.6675823165250728,-0.05934011264193625,7.0,7
2023,MIN,2.66,29,-0.5400044855967149,0.24559931033166796,1.184265577499374,1.0266431006187204,-0.08104007777541555,6.0,6
2023,NYJ,2.54,29,-0.7706626863410295,0.184110591368182,-0.807570902572509,-1.4795283618197532,-0.1207923649957003,7.0,7
2023,DET,2.54,29,-0.7706626863410295,0.1873023797520484,-0.704177619270737,-1.6926442288299481,-0.04212745590090109,8.0,8
2023,JAX,2.47,29,-0.9052133034418793,0.22236087757050413,0.4314907776068841,0.9142739503782237,0.01390435230580524,13.0,11
2023,ATL,2.44,29,-0.9628778536279584,0.27248036163425554,2.0550376395905223,0.8881537542910948,0.03312009238030413,6.0,5
2023,DEN,2.42,29,-1.001320887085344,0.18884723470191453,-0.6541343186875799,-1.5667810913156808,0.06177533511858535,5.0,5
2023,MIA,2.38,29,-1.0782069540001156,0.16371671907889312,-1.468200355917519,-0.5115541581730425,-0.1119054512693433,4.0,4
2023,DAL,2.35,29,-1.135871504186194,0.19744709817279163,-0.3755544088491152,0.06794526648741826,-0.10925626352530915,8.0,8
2023,WAS,2.22,29,-1.385751221659201,0.20899915048941695,-0.0013426898244076671,0.20514813533348805,-0.15718172481042414,7.0,6
2023,SFO,1.78,29,-2.2314979577216874,0.19849918502541325,-0.3414736049458792,0.7679170072278317,-0.06098553604308142,9.0,9
2024,PIT,3.92,20,1.6886737880195135,0.20538192557104118,-0.12849976890148854,0.41781138580823135,0.05134672692912424,7.0,7
2024,CHI,3.87,20,1.5913789352708203,0.17138965901341102,-1.2586419747004958,0.22058845512835867,-0.03471857090490987,5.0,5
2024,PHI,3.84,20,1.5330020236216035,0.1948007494620436,-0.48029254175164304,0.5342852418017181,0.0036489966544890526,9.0,9
2024,WAS,3.72,20,1.2994943770247396,0.18416075585994893,-0.8340408220780526,-1.1066911343803765,-0.0039711246886776136,9.0,9
2024,KAN,3.68,20,1.2216584948257845,0.22965177333403014,0.6784008018141664,-0.5725717204353974,-0.02484211686710838,7.0,7
2024,ARI,3.61,20,1.0854457009776128,0.23204294743921147,0.7579002601129394,0.17167223427948472,-0.14421587359090512,12.0,12
2024,LAC,3.57,20,1.007609818778658,0.23035887280033338,0.7019097652194872,0.4574544483272671,0.04054271535476303,9.0,9
2024,BAL,3.39,20,0.6573483488833615,0.22526358678943417,0.5325065934194627,-0.5181037159687749,-0.09977342824848132,9.0,8
2024,LAR,3.36,20,0.5989714372341448,0.25243324567873393,1.4358172972203374,1.3077804856841728,0.14578307286305056,10.0,9
2024,IND,3.32,20,0.5211355550351898,0.19419029684117878,-0.5005882837349056,-1.4923496535657506,-0.02394962698535099,9.0,9
2024,DET,3.27,20,0.42384070228649656,0.2048761089095069,-0.14531667508298995,-0.43449464078844885,-0.08430082336712118,6.0,6
2024,NWE,3.2,20,0.28762790843832575,0.17469566344276405,-1.1487271171008735,-0.5270087590684827,-0.1740564698217921,8.0,8
2024,CIN,3.18,20,0.2487099673388483,0.22198643023777356,0.423550842329336,0.20797022793537037,-0.030610799498783314,10.0,10
2024,NYG,3.15,20,0.19033305568963163,0.23167426281211567,0.7456425880037901,0.6405759867970359,0.2192329182771211,6.0,6
2024,NOR,3.1,20,0.09303820294093836,0.26138306682945256,1.7333723484444625,1.149172617218666,-0.0033020520104727613,7.0,5
2024,MIN,3.06,20,0.01520232074198338,0.2197167667755932,0.3480912530953798,0.24143894495591064,-0.046943387163574275,7.0,7
2024,TAM,3.04,20,-0.023715620357494107,0.25190883312542084,1.418382132702986,-0.1734891191685084,0.15819374740650868,7.0,7
2024,GNB,3.03,20,-0.04317459090723328,0.1917577835811939,-0.5814621465181906,-0.9744660831680163,-0.014490484558891388,11.0,11
2024,NYJ,3.0,20,-0.10155150255644907,0.2048434185874747,-0.1464035314886107,-0.07679290466773803,-0.07149420840874408,7.0,6
2024,HOU,2.95,20,-0.19884635530514236,0.23850922304586872,0.9728847762240479,1.2353502745749931,0.017839952423988295,9.0,8
2024,SEA,2.81,20,-0.4712719430014847,0.19632794099625261,-0.4295179455292227,-1.1883170904213904,0.05452015400177165,8.0,8
2024,BUF,2.8,20,-0.49073091355122395,0.2258018179525672,0.5504011857939272,0.662986269112128,0.052983013195713614,10.0,10
