season,round,pick,team,pfr_player_name,position,age,to,games,seasons_started,allpro,probowls,w_av,car_av,dr_av
2026,2,55,NWE,Gabe Jacas,DE,22.0,,,0,0,0,,,
2026,2,56,JAX,Nate Boerkircher,TE,25.0,,,0,0,0,,,
2026,2,57,CHI,Logan Jones,C,24.0,,,0,0,0,,,
2026,2,58,CLE,Emmanuel McNeil-Warren,S,22.0,,,0,0,0,,,
2026,2,59,HOU,Marlin Klein,TE,23.0,,,0,0,0,,,
2026,2,60,TEN,Anthony Hill Jr.,LB,21.0,,,0,0,0,,,
2026,2,61,LAR,Max Klare,TE,23.0,,,0,0,0,,,
2026,2,62,BUF,Davison Igbinosun,CB,22.0,,,0,0,0,,,
2026,2,63,LAC,Jake Slaughter,C,23.0,,,0,0,0,,,
2026,2,64,SEA,Bud Clark,S,24.0,,,0,0,0,,,
2026,3,65,ARI,Carson Beck,QB,24.0,,,0,0,0,,,
2026,3,66,DEN,Tyler Onyedim,DT,23.0,,,0,0,0,,,
2026,3,67,LVR,Keyron Crawford,DE,22.0,,,0,0,0,,,
2026,3,68,PHI,Markel Bell,OT,22.0,,,0,0,0,,,
2026,3,69,CHI,Sam Roush,TE,23.0,,,0,0,0,,,
2026,3,70,SFO,Romello Height,DE,25.0,,,0,0,0,,,
2026,3,71,WAS,Antonio Williams,WR,22.0,,,0,0,0,,,
2026,3,72,CIN,Tacario Davis,CB,22.0,,,0,0,0,,,
2026,3,73,NOR,Oscar Delp,TE,23.0,,,0,0,0,,,
2026,3,74,NYG,Malachi Fields,WR,23.0,,,0,0,0,,,
2026,3,75,MIA,Caleb Douglas,WR,22.0,,,0,0,0,,,
2026,3,76,PIT,Drew Allar,QB,22.0,,,0,0,0,,,
2026,3,77,GNB,Chris McClellan,DT,22.0,,,0,0,0,,,
2026,3,78,IND,A.J. Haulcy,S,22.0,,,0,0,0,,,
2026,3,79,ATL,Zachariah Branch,WR,22.0,,,0,0,0,,,
2026,3,80,BAL,Ja'Kobi Lane,WR,22.0,,,0,0,0,,,
2026,3,81,JAX,Albert Regis,DT,23.0,,,0,0,0,,,
2026,3,82,MIN,Domonique Orange,DT,22.0,,,0,0,0,,,
2026,3,83,CAR,Chris Brazzell II,WR,22.0,,,0,0,0,,,
2026,3,84,TAM,Ted Hurst,WR,22.0,,,0,0,0,,,
2026,3,85,PIT,Daylen Everette,CB,22.0,,,0,0,0,,,
2026,3,86,CLE,Austin Barber,OT,23.0,,,0,0,0,,,
2026,3,87,MIA,Will Kacmarek,TE,23.0,,,0,0,0,,,
2026,3,88,JAX,Emmanuel Pregnon,G,24.0,,,0,0,0,,,
2026,3,89,CHI,Zavion Thomas,WR,21.0,,,0,0,0,,,
2026,3,90,SFO,Kaelon Black,RB,24.0,,,0,0,0,,,
2026,3,91,LVR,Trey Zuhn III,OT,23.0,,,0,0,0,,,
2026,3,92,DAL,Jaishawn Barham,DE,22.0,,,0,0,0,,,
2026,3,93,LAR,Keagen Trost,OL,25.0,,,0,0,0,,,
2026,3,94,MIA,Chris Bell,WR,22.0,,,0,0,0,,,
2026,3,95,NWE,Eli Raridon,TE,22.0,,,0,0,0,,,
2026,3,96,PIT,Gennings Dunker,OT,23.0,,,0,0,0,,,
2026,3,97,MIN,Caleb Tiernan,OT,23.0,,,0,0,0,,,
2026,3,98,MIN,Jakobe Thomas,S,23.0,,,0,0,0,,,
2026,3,99,SEA,Julian Neal,CB,23.0,,,0,0,0,,,
2026,3,100,JAX,Jalen Huskey,S,23.0,,,0,0,0,,,
2026,4,101,LVR,Jermod McCoy,CB,21.0,,,0,0,0,,,
2026,4,102,BUF,Jude Bowry,OT,23.0,,,0,0,0,,,
2026,4,103,NYJ,Darrell Jackson Jr.,DT,23.0,,,0,0,0,,,
2026,4,104,ARI,Kaleb Proctor,DT,22.0,,,0,0,0,,,
2026,4,105,LAC,Brenen Thompson,WR,23.0,,,0,0,0,,,
2026,4,106,HOU,Febechi Nwaiwu,OL,23.0,,,0,0,0,,,
2026,4,107,SFO,Gracen Halton,DT,22.0,,,0,0,0,,,
2026,4,108,DEN,Jonah Coleman,RB,23.0,,,0,0,0,,,
2026,4,109,KAN,Jadon Canady,CB,23.0,,,0,0,0,,,
2026,4,110,NYJ,Cade Klubnik,QB,22.0,,,0,0,0,,,
2026,4,111,DEN,Kage Casey,OT,22.0,,,0,0,0,,,
2026,4,112,DAL,Drew Shelton,OT,22.0,,,0,0,0,,,
